,emoji,synsets,synsets_names
35,😐,"[""140655-V"", ""109156-N"", ""147308-A"", ""2149-N"", ""123943-N"", ""107733-N"", ""133729-V"", ""111118-N"", ""142141-V"", ""5092-N"", ""110629-N"", ""115804-V"", ""127138-A"", ""119776-A"", ""109158-N"", ""112688-A"", ""113827-A""]","[""СТОЛКНУТЬСЯ (ПОДВЕРГНУТЬСЯ ВОЗДЕЙСТВИЮ)"", ""РОТ, ГУБЫ"", ""НЕЙТРАЛИТЕТ, НЕВМЕШАТЕЛЬСТВО В КОНФЛИКТ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ПОВСТРЕЧАТЬ, СЛУЧАЙНО ВСТРЕТИТЬ"", ""РОТОВАЯ ПОЛОСТЬ"", ""ВСТРЕТИТЬСЯ В ЖИЗНИ, ДЕЯТЕЛЬНОСТИ"", ""РОТА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""СТОЛКНОВЕНИЕ С ПРЕПЯТСТВИЕМ"", ""НЕЙТРАЛИТЕТ (ВНЕШНЯЯ ПОЛИТИКА)"", ""НЕПОСРЕДСТВЕННЫЙ, НЕПОСРЕДСТВЕННО СЛЕДУЮЩИЙ"", ""ПАСТЬ ЖИВОТНОГО"", ""ЧИСТОСЕРДЕЧНЫЙ, ИСКРЕННИЙ, ОТКРОВЕННЫЙ"", ""ПРЯМОЙ, БЕЗ ИЗГИБОВ""]"
36,😑,"[""109156-N"", ""110629-N"", ""112688-A"", ""2149-N"", ""123943-N"", ""107733-N"", ""119776-A"", ""109158-N"", ""111118-N"", ""127154-A"", ""5092-N"", ""113827-A""]","[""РОТ, ГУБЫ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧИСТОСЕРДЕЧНЫЙ, ИСКРЕННИЙ, ОТКРОВЕННЫЙ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""НЕПОСРЕДСТВЕННЫЙ, НЕПОСРЕДСТВЕННО СЛЕДУЮЩИЙ"", ""ПАСТЬ ЖИВОТНОГО"", ""РОТОВАЯ ПОЛОСТЬ"", ""БЕССРОЧНЫЙ, ВЕЧНЫЙ"", ""РОТА"", ""ПРЯМОЙ, БЕЗ ИЗГИБОВ""]"
37,😶,"[""109156-N"", ""114562-A"", ""2149-N"", ""123943-N"", ""107733-N"", ""119637-A"", ""111118-N"", ""107341-N"", ""110629-N"", ""123525-A"", ""109158-N"", ""123512-A"", ""134277-A"", ""5092-N"", ""118245-A""]","[""РОТ, ГУБЫ"", ""ТИХИЙ, НЕГРОМКИЙ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ТИХИЙ, НЕ ОЖИВЛЕННЫЙ"", ""РОТОВАЯ ПОЛОСТЬ"", ""ТИШИНА, БЕЗМОЛВИЕ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""БЕССОДЕРЖАТЕЛЬНЫЙ"", ""ПАСТЬ ЖИВОТНОГО"", ""СМИРНЫЙ, ТИХИЙ"", ""ПУСТОГОЛОВЫЙ"", ""РОТА"", ""ПУСТОЙ, НЕЗАПОЛНЕННЫЙ""]"
38,😶‍🌫️,"[""7509-N"", ""150038-N"", ""110629-N"", ""112719-V"", ""2149-N"", ""119337-V"", ""123943-N"", ""107733-N"", ""112833-N"", ""137289-V""]","[""ГОЛОВНОЙ МОЗГ"", ""ОБЛАКО ЧАСТИЦ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЗАБЫТЬ (ПЕРЕСТАТЬ ПОМНИТЬ)"", ""ЧЕЛОВЕК"", ""ЗАБЫТЬ ВЗЯТЬ"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ОБЛАКО (СКОПЛЕНИЕ ВОДЯНЫХ КАПЕЛЬ В АТМОСФЕРЕ)"", ""ОСТАВИТЬ ЗАНЯТИЕ""]"
39,😶‍🌫,"[""7509-N"", ""150038-N"", ""110629-N"", ""112719-V"", ""2149-N"", ""119337-V"", ""123943-N"", ""107733-N"", ""112833-N"", ""137289-V""]","[""ГОЛОВНОЙ МОЗГ"", ""ОБЛАКО ЧАСТИЦ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЗАБЫТЬ (ПЕРЕСТАТЬ ПОМНИТЬ)"", ""ЧЕЛОВЕК"", ""ЗАБЫТЬ ВЗЯТЬ"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ОБЛАКО (СКОПЛЕНИЕ ВОДЯНЫХ КАПЕЛЬ В АТМОСФЕРЕ)"", ""ОСТАВИТЬ ЗАНЯТИЕ""]"
40,😏,"[""112039-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""139727-N"", ""120662-N"", ""128259-N"", ""110629-N"", ""7340-A"", ""106879-N"", ""112179-N"", ""119043-N"", ""150314-N"", ""139367-A"", ""123562-N""]","[""УЛЫБКА"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ПРЕДЛОЖИТЬ (ПОПРОСИТЬ ЗАНЯТЬСЯ)"", ""ПРЕДЛОЖЕНИЕ (ТО, ЧТО ПРЕДЛОЖЕНО)"", ""ПРЕДЛОЖЕНИЕ РУКИ И СЕРДЦА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ПОЛОВАЯ ЖИЗНЬ"", ""ПРЕДЛОЖИТЬ, ВНЕСТИ ПРЕДЛОЖЕНИЕ"", ""ПРЕДЛОЖЕНИЕ (ГРАММАТИЧЕСКАЯ КАТЕГОРИЯ)"", ""ПРЕДЛОЖИТЬ (ПРЕДОСТАВИТЬ)"", ""ПРЕДЛОЖЕНИЕ НА РЫНКЕ"", ""СОБЛАЗНИТЕЛЬНЫЙ, СЕКСУАЛЬНЫЙ"", ""ФЛИРТ""]"
41,😒,"[""109561-N"", ""110629-N"", ""117144-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""107058-A""]","[""МЕХ, ПУШНИНА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""МЕХ (ШЕРСТЬ)"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""НЕДОВОЛЬСТВО, НЕУДОВОЛЬСТВИЕ""]"
42,🙄,"[""2698-N"", ""3870-N"", ""110629-N"", ""3823-N"", ""106917-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""3334-N""]","[""ПРОКАТНОЕ ПРОИЗВОДСТВО"", ""ПРОКАТНАЯ ПРОДУКЦИЯ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""КИНОПРОКАТ"", ""ГЛАЗ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ПРОКАТ ИМУЩЕСТВА""]"
43,😬,"[""109156-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""111118-N"", ""137594-A"", ""137228-A"", ""118686-A"", ""110629-N"", ""109158-N"", ""146996-N"", ""113057-N"", ""119849-A"", ""5092-N"", ""111216-A"", ""113338-N""]","[""РОТ, ГУБЫ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""РОТОВАЯ ПОЛОСТЬ"", ""НЕУМЕЛЫЙ, НЕИСКУСНЫЙ"", ""НЕУМЕСТНЫЙ"", ""НЕЛОВКИЙ В ДВИЖЕНИИ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ПАСТЬ ЖИВОТНОГО"", ""ДРУГ, БОЙФРЕНД"", ""НЕРВ"", ""ВЗАИМНЫЙ"", ""РОТА"", ""ХОРОШИЙ (ВПОЛНЕ ПОЛОЖИТЕЛЬНЫЙ ПО КАЧЕСТВАМ)"", ""ДРУГ (ПРИЯТЕЛЬ)""]"
44,😮‍💨,"[""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""115660-V"", ""134065-V"", ""106943-N"", ""149475-N"", ""140481-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ПРЕВЗОЙТИ"", ""ПРЕВЫСИТЬ РАЗМЕР, КОЛИЧЕСТВО"", ""ВЛИЯНИЕ, АВТОРИТЕТ"", ""СИЛА ВЕСА"", ""МАССА (ФИЗИЧЕСКАЯ ВЕЛИЧИНА)""]"
45,🤥,"[""2149-N"", ""123943-N"", ""121210-V"", ""107733-N"", ""109079-N"", ""109081-N"", ""114030-N"", ""114203-A"", ""116270-V"", ""117924-V"", ""110629-N"", ""120595-V"", ""109218-N"", ""115155-V""]","[""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛЕЖАТЬ (НАХОДИТЬСЯ О ПРЕДМЕТАХ (ГОРИЗОНТАЛЬНО)"", ""ЛИЦО ЧЕЛОВЕКА"", ""НОС (ОРГАН ОБОНЯНИЯ)"", ""НОСОВАЯ ЧАСТЬ"", ""НОСОК ОДЕЖДЫ, ОБУВИ"", ""ДЛИТЕЛЬНЫЙ, ДОЛГИЙ"", ""ЛЕЖАТЬ В СТАЦИОНАРЕ"", ""ЛЕЖАТЬ (НАХОДИТЬСЯ, ХРАНИТЬСЯ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ПРОЛЕГАТЬ, ПРОХОДИТЬ"", ""КЛЮВ"", ""ЛЕЖАТЬ (НАХОДИТЬСЯ ВСЕМ ТЕЛОМ НА ПОВЕРХНОСТИ)""]"
46,😌,"[""141343-V"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""111641-V"", ""122206-V"", ""141117-V"", ""108869-V"", ""111998-V""]","[""СНЯТЬ (ЗАСТАВИТЬ ПОКИНУТЬ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""КИНОФОТОСЪЕМКА"", ""СНЯТЬ (УСТРАНИТЬ, ОТМЕНИТЬ, ОТКАЗАТЬСЯ)"", ""АРЕНДА ПОМЕЩЕНИЙ"", ""РАЗДЕТЬ, СНЯТЬ ОДЕЖДУ"", ""СНЯТЬ (ОТДЕЛИТЬ, ДОСТАТЬ)""]"
47,😔,"[""110629-N"", ""106661-N"", ""2149-N"", ""130986-A"", ""123943-N"", ""107733-N"", ""112903-A"", ""110478-V""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ГРУСТЬ"", ""ЧЕЛОВЕК"", ""УЖАСНЫЙ (ВЫЗЫВАЮЩИЙ УЖАС)"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ОТВРАТИТЕЛЬНЫЙ (ОЧЕНЬ ПЛОХОЙ)"", ""ОГОРЧИТЬ, РАССТРОИТЬ""]"
48,😪,"[""150402-N"", ""120048-N"", ""110629-N"", ""2149-N"", ""125707-N"", ""123943-N"", ""107733-N"", ""107452-N"", ""114462-N""]","[""ЭКОНОМИЧЕСКИЙ ПУЗЫРЬ"", ""ПУЗЫРЬ (НАПОЛНЕННЫЙ ВОЗДУХОМ ПРОЗР.ШАРИК)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ВОЛДЫРЬ НА КОЖЕ"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""СНОВИДЕНИЕ"", ""СОН, СОСТОЯНИЕ СНА""]"
49,🤤,"[""110629-N"", ""2149-N"", ""123943-N"", ""107733-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
50,😴,"[""113507-N"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""7341-V"", ""114462-V"", ""107452-N"", ""114462-N""]","[""ХРАПЕТЬ ВО СНЕ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ПОЛОВОЕ СНОШЕНИЕ"", ""СОН, СОСТОЯНИЕ СНА"", ""СНОВИДЕНИЕ"", ""СОН, СОСТОЯНИЕ СНА""]"
51,😷,"[""1046-N"", ""110629-N"", ""126675-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""1047-A"", ""154155-N"", ""126674-N""]","[""ХИРУРГ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""КОСМЕТИЧЕСКАЯ МАСКА"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""МЕДИЦИНА"", ""МАСКА (НАКЛАДКА)"", ""МАСКА, СКРЫВАЮЩАЯ ЛИЦО""]"
52,🤒,"[""4846-A"", ""110629-N"", ""2149-N"", ""114296-N"", ""123943-N"", ""107733-N""]","[""БОЛЬНОЙ ЧЕЛОВЕК"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ТЕРМОМЕТР"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
53,🤕,"[""8406-A"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""107732-N"", ""143622-N"", ""115479-N"", ""116865-N"", ""154104-N"", ""124624-N""]","[""РАНЕНЫЙ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ГОЛОВА (ЧАСТЬ ТЕЛА)"", ""ГОЛОВА ДВИЖУЩЕГОСЯ"", ""УМ, ИНТЕЛЛЕКТ"", ""БАНДАЖ (ПОВЯЗКА)"", ""ГОЛОВЫ (КОЛИЧЕСТВО)"", ""ГОЛОВОКРУЖЕНИЕ""]"
54,🤢,"[""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""106617-V""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""СЕЛИТЬСЯ""]"
55,🤮,"[""110629-N"", ""2149-N"", ""111021-V"", ""123943-N"", ""107733-N"", ""137289-V"", ""128181-V"", ""111022-V"", ""118037-V""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ВЫБРОСИТЬ (УДАЛИТЬ)"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ОСТАВИТЬ ЗАНЯТИЕ"", ""ОТКАЗАТЬСЯ ОТ ПРОДОЛЖЕНИЯ, НАМЕРЕНИЙ"", ""БРОСИТЬ (ПЕРЕМЕСТИТЬ)"", ""ОСТАВИТЬ (ПОКИНУТЬ МЕСТО)""]"
56,🤧,"[""110629-N"", ""2149-N"", ""123943-N"", ""107733-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
57,🥵,"[""119868-A"", ""125761-A"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""137427-A"", ""115950-A""]","[""ПЫЛКИЙ, СТРАСТНЫЙ, ГОРЯЧИЙ"", ""ВСПЫЛЬЧИВЫЙ, ЗАПАЛЬЧИВЫЙ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ГОРЯЧИЙ (НАПРЯЖЕННЫЙ)"", ""ГОРЯЧИЙ ПО ТЕМПЕРАТУРЕ""]"
58,🥶,"[""113822-N"", ""110629-N"", ""119258-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""128547-N"", ""118926-N""]","[""ХОЛОД (НИЗКАЯ ТЕМПЕРАТУРА ВОЗДУХА)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ХОЛОДНЫЙ В ОТНОШЕНИЯХ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ХОЛОДНАЯ ПОГОДА"", ""ОЗНОБ""]"
59,🥴,"[""110629-N"", ""7787-A"", ""2149-N"", ""123943-N"", ""107733-N"", ""5252-A"", ""112537-A""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""АЛКОГОЛЬНОЕ ОПЬЯНЕНИЕ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ПЬЯНЫЙ ЧЕЛОВЕК"", ""УПОЕНИЕ""]"
60,😵,"[""110629-N"", ""142535-N"", ""2149-N"", ""106917-N"", ""124155-N"", ""123943-N"", ""107733-N"", ""125632-N"", ""125423-N"", ""120984-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ИСПЫТАНИЯ В ЖИЗНИ"", ""ЧЕЛОВЕК"", ""ГЛАЗ"", ""КРЕСТ (ПРЕДМЕТ КУЛЬТА)"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""СПИРАЛЬ (ВИНТООБР. ЛИНИЯ)"", ""КРЕСТИТЬ, ОСЕНИТЬ КРЕСТОМ"", ""КРЕСТ (ФИГУРА)""]"
61,😵‍💫,"[""110629-N"", ""2149-N"", ""106917-N"", ""123943-N"", ""107733-N"", ""125632-N"", ""124624-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ГЛАЗ"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""СПИРАЛЬ (ВИНТООБР. ЛИНИЯ)"", ""ГОЛОВОКРУЖЕНИЕ""]"
62,🤯,"[""130096-V"", ""143622-N"", ""107404-N"", ""3758-N"", ""151324-N"", ""107407-N"", ""107732-N"", ""106550-N"", ""115479-N"", ""115663-N"", ""111612-V"", ""154104-N""]","[""ВЗРЫТЬ (РАЗРЫТЬ, ВЗРЫХЛИТЬ)"", ""ГОЛОВА ДВИЖУЩЕГОСЯ"", ""УДАРИТЬ, НАНЕСТИ УДАР"", ""ВЗРЫВ"", ""БУРЯ ЭМОЦИЙ"", ""УДАР, ЗВУК ОТ УДАРА"", ""ГОЛОВА (ЧАСТЬ ТЕЛА)"", ""НЕСЧАСТЬЕ"", ""УМ, ИНТЕЛЛЕКТ"", ""АТАКА, ВОЕННЫЙ УДАР"", ""УМЕРЕТЬ, УЙТИ ИЗ ЖИЗНИ"", ""ГОЛОВЫ (КОЛИЧЕСТВО)""]"
63,🤠,"[""131722-N"", ""110629-N"", ""2149-N"", ""5823-N"", ""123943-N"", ""107733-N""]","[""РАСТЯПА, РОТОЗЕЙ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ШЛЯПА"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
64,🥳,"[""109623-N"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N""]","[""ВЕЧЕРИНКА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
65,🥸,"[""143248-V"", ""110629-N"", ""2149-N"", ""126398-V"", ""123943-N"", ""107733-N""]","[""ЗАТАИТЬ ЧУВСТВА, МЫСЛИ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""МАСКИРОВАТЬ (ДЕЛАТЬ НЕЗАМЕТНЫМ, НЕВИДИМЫМ)"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
66,😎,"[""112039-N"", ""121191-A"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""154719-A"", ""146996-N"", ""119849-A"", ""119113-A"", ""113338-N"", ""111216-A"", ""115908-A""]","[""УЛЫБКА"", ""КРУТОЙ (ГУСТОЙ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""КРУТОЙ (МОДНЫЙ)"", ""ДРУГ, БОЙФРЕНД"", ""ВЗАИМНЫЙ"", ""КРУТОЙ (СУРОВЫЙ)"", ""ДРУГ (ПРИЯТЕЛЬ)"", ""ХОРОШИЙ (ВПОЛНЕ ПОЛОЖИТЕЛЬНЫЙ ПО КАЧЕСТВАМ)"", ""КРУТОЙ (ОТВЕСНЫЙ, ОБРЫВИСТЫЙ)""]"
67,🤓,"[""113057-N"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N""]","[""НЕРВ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
68,🧐,"[""110629-N"", ""2149-N"", ""123943-N"", ""107733-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
69,😕,"[""110629-N"", ""145429-V"", ""135355-V"", ""2149-N"", ""118448-A"", ""123943-N"", ""107733-N"", ""113145-N"", ""116856-V"", ""147320-V"", ""154221-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЗАПУТАТЬ (СДЕЛАТЬ НЕЯСНЫМ)"", ""ПУТАТЬ, СБИВАТЬ С ТОЛКУ"", ""ЧЕЛОВЕК"", ""ЗАПУТАННЫЙ"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ГОЛОВОЛОМКА (ЗАДАЧА)"", ""ПУТАТЬ (НАРУШАТЬ ПОРЯДОК)"", ""ПУТАТЬ, СДЕЛАТЬ СПУТАННЫМ"", ""ГОЛОВОЛОМКА (ПРОБЛЕМА)""]"
70,😟,"[""117114-V"", ""110629-N"", ""106661-N"", ""2149-N"", ""115626-V"", ""123943-N"", ""107733-N"", ""110478-V""]","[""ВОЛНОВАТЬСЯ, ИСПЫТЫВАТЬ ВОЛНЕНИЕ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ГРУСТЬ"", ""ЧЕЛОВЕК"", ""ВОЛНЕНИЕ ВОДЫ"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ОГОРЧИТЬ, РАССТРОИТЬ""]"
71,🙁,"[""110629-N"", ""106661-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""116084-N"", ""107253-N"", ""110478-V"", ""116083-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ГРУСТЬ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ЖАРА, ЖАРКАЯ ПОГОДА"", ""ВООДУШЕВЛЕНИЕ, ПОДЪЕМ ДУХА"", ""ОГОРЧИТЬ, РАССТРОИТЬ"", ""ЖАР, ГОРЯЧИЙ ВОЗДУХ""]"
72,☹️,"[""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""116084-N"", ""107253-N"", ""116083-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ЖАРА, ЖАРКАЯ ПОГОДА"", ""ВООДУШЕВЛЕНИЕ, ПОДЪЕМ ДУХА"", ""ЖАР, ГОРЯЧИЙ ВОЗДУХ""]"
73,☹,"[""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""116084-N"", ""107253-N"", ""116083-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ЖАРА, ЖАРКАЯ ПОГОДА"", ""ВООДУШЕВЛЕНИЕ, ПОДЪЕМ ДУХА"", ""ЖАР, ГОРЯЧИЙ ВОЗДУХ""]"
74,😮,"[""109156-N"", ""108819-V"", ""148879-N"", ""2149-N"", ""137949-N"", ""123943-N"", ""107733-N"", ""121131-V"", ""115969-V"", ""111118-N"", ""110629-N"", ""118693-V"", ""121460-V"", ""109158-N"", ""5092-N"", ""120706-V""]","[""РОТ, ГУБЫ"", ""ОТКРЫТЬ, ПОДНЯТЬ КРЫШКУ"", ""НЕОЖИДАННОЕ СОБЫТИЕ"", ""ЧЕЛОВЕК"", ""СЮРПРИЗ (НЕОЖИДАННЫЙ ПОДАРОК)"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ОТКРЫТЬ (ПОЛОЖИТЬ НАЧАЛО ДЕЯТЕЛЬНОСТИ)"", ""ОТКРЫТЬ ОТВЕРСТИЕ, ПРОХОД"", ""РОТОВАЯ ПОЛОСТЬ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ОТКРЫТЬ, РАСКРЫТЬ СЛОЖЕННОЕ"", ""ОТКРЫТЬ ДОСТУП"", ""ПАСТЬ ЖИВОТНОГО"", ""РОТА"", ""ОТКРЫТЬ, СДЕЛАТЬ ОТКРЫТИЕ""]"
75,😯,"[""110629-N"", ""148879-N"", ""2149-N"", ""137949-N"", ""123943-N"", ""107733-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""НЕОЖИДАННОЕ СОБЫТИЕ"", ""ЧЕЛОВЕК"", ""СЮРПРИЗ (НЕОЖИДАННЫЙ ПОДАРОК)"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА""]"
76,😲,"[""110629-N"", ""7787-A"", ""118626-A"", ""2149-N"", ""123943-N"", ""107733-N"", ""5252-A"", ""117660-N"", ""119974-V"", ""112537-A""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""АЛКОГОЛЬНОЕ ОПЬЯНЕНИЕ"", ""ВОСХИТИТЕЛЬНЫЙ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ПЬЯНЫЙ ЧЕЛОВЕК"", ""ГАЗИРОВАТЬ (НАСЫТИТЬ ГАЗОМ)"", ""ШОКИРОВАТЬ"", ""УПОЕНИЕ""]"
