,emoji,keywords
3305,🦑,"{""squid"": 1}"
3306,🦪,"{""oyster"": 2}"
3307,🍦,"{""cream"": 2, ""mr."": 1, ""ice"": 7, ""serve"": 1, ""whippy"": 1, ""soft"": 2}"
3308,🍧,"{""ice"": 7, ""cone"": 1, ""shaved"": 1, ""snow"": 6}"
3309,🍨,"{""cream"": 2, ""ice"": 7, ""dessert"": 3, ""bowl"": 5}"
3310,🍩,"{""donut"": 1, ""doughnut"": 1}"
3311,🍪,"{""cookie"": 2, ""chocolate"": 4, ""biscuit"": 1, ""chip"": 1}"
3312,🎂,"{""cake"": 5, ""birthday"": 2, ""candles"": 2}"
3313,🍰,"{""strawberry"": 2, ""shortcake"": 1, ""piece"": 2, ""cake"": 5}"
3314,🧁,"{""cupcake"": 1, ""fairy"": 31, ""cake"": 5}"
3315,🥧,"{""pie"": 1}"
3316,🍫,"{""chocolate"": 4, ""candy"": 2, ""bar"": 2}"
3317,🍬,"{""lolly"": 1, ""sweet"": 2, ""candy"": 2}"
3318,🍭,"{""sucker"": 1, ""lollipop"": 1, ""lollypop"": 1}"
3319,🍮,"{""custard"": 1, ""caramel"": 1, ""flan"": 1, ""creme"": 1, ""dessert"": 3, ""pudding"": 1}"
3320,🍯,"{""pot"": 2, ""honey"": 1}"
3321,🍼,"{""feeding"": 19, ""bottle"": 4, ""baby"": 35}"
3322,🥛,"{""glass"": 6, ""milk"": 1}"
3323,☕,"{""tea"": 3, ""coffee"": 1, ""beverage"": 2, ""hot"": 11, ""espresso"": 1, ""chocolate"": 4}"
3324,🫖,"{""teapot"": 1}"
3325,🍵,"{""tea"": 3, ""matcha"": 1, ""green"": 14, ""handle"": 1, ""teacup"": 1}"
3326,🍶,"{""sake"": 1, ""bottle"": 4, ""wine"": 3, ""rice"": 6}"
3327,🍾,"{""cork"": 1, ""champagne"": 2, ""wine"": 3, ""popping"": 2, ""celebration"": 3, ""sparkling"": 2, ""bottle"": 4}"
3328,🍷,"{""glass"": 6, ""wine"": 3, ""red"": 49, ""alcohol"": 1}"
3329,🍸,"{""glass"": 6, ""martini"": 1, ""cocktail"": 1}"
3330,🍹,"{""tropical"": 2, ""fruit"": 3, ""drink"": 2, ""tiki"": 1, ""punch"": 2}"
3331,🍺,"{""stein"": 1, ""beer"": 2, ""mug"": 1}"
3332,🍻,"{""clinking"": 2, ""cheers"": 2, ""beers"": 1, ""beer"": 2, ""mugs"": 1}"
3333,🥂,"{""glasses"": 2, ""clinking"": 2, ""cheers"": 2, ""champagne"": 2, ""celebration"": 3}"
3334,🥃,"{""glass"": 6, ""tumbler"": 1, ""whisky"": 1, ""whiskey"": 1, ""liquor"": 1, ""rum"": 1, ""bourbon"": 1}"
3335,🥤,"{""smoothie"": 1, ""cup"": 1, ""milkshake"": 1, ""pop"": 2, ""straw"": 1, ""soda"": 1, ""soft"": 2, ""drink"": 2}"
3336,🧋,"{""bubble"": 13, ""tea"": 3, ""boba"": 1}"
3337,🧃,"{""box"": 12, ""juice"": 1, ""beverage"": 2}"
3338,🧉,"{""mate"": 1, ""yerba"": 1, ""chimarrão"": 1, ""cimarrón"": 1}"
3339,🧊,"{""ice"": 7}"
3340,🥢,"{""chopsticks"": 2}"
3341,🍽️,"{""plate"": 2, ""knife"": 6, ""dinner"": 2, ""fork"": 3}"
3342,🍽,"{""plate"": 2, ""knife"": 6, ""dinner"": 2, ""fork"": 3}"
3343,🍴,"{""cutlery"": 1, ""knife"": 6, ""silverware"": 1, ""fork"": 3}"
3344,🥄,"{""spoon"": 2}"
3345,🔪,"{""butchers"": 1, ""knife"": 6, ""kitchen"": 1}"
3346,🏺,"{""vase"": 3, ""jar"": 1, ""amphora"": 1}"
3347,🌍,"{""europe-africa"": 1, ""planet"": 4, ""showing"": 3, ""globe"": 4, ""earth"": 3, ""world"": 9}"
3348,🌎,"{""globe"": 4, ""planet"": 4, ""showing"": 3, ""americas"": 1, ""earth"": 3, ""world"": 9}"
3349,🌏,"{""asia-australia"": 1, ""planet"": 4, ""showing"": 3, ""globe"": 4, ""earth"": 3, ""world"": 9}"
3350,🌐,"{""internet"": 1, ""meridians"": 1, ""web"": 3, ""wide"": 2, ""www"": 1, ""globe"": 4, ""world"": 9}"
3351,🗺️,"{""map"": 4, ""world"": 9}"
3352,🗺,"{""map"": 4, ""world"": 9}"
3353,🗾,"{""map"": 4, ""japan"": 3}"
3354,🧭,"{""compass"": 1}"
3355,🏔️,"{""mountain"": 37, ""snow-capped"": 3}"
3356,🏔,"{""mountain"": 37, ""snow-capped"": 3}"
3357,⛰️,"{""mountain"": 37}"
3358,⛰,"{""mountain"": 37}"
3359,🌋,"{""volcano"": 1}"
3360,🗻,"{""mount"": 1, ""mountain"": 37, ""fuji-san"": 1, ""fuji"": 1, ""snow-capped"": 3}"
3361,🏕️,"{""camping"": 3, ""campsite"": 2}"
3362,🏕,"{""camping"": 3, ""campsite"": 2}"
3363,🏖️,"{""umbrella"": 8, ""beach"": 4}"
3364,🏖,"{""umbrella"": 8, ""beach"": 4}"
3365,🏜️,"{""desert"": 5}"
3366,🏜,"{""desert"": 5}"
3367,🏝️,"{""desert"": 5, ""island"": 8}"
3368,🏝,"{""desert"": 5, ""island"": 8}"
3369,🏞️,"{""national"": 2, ""park"": 4}"
3370,🏞,"{""national"": 2, ""park"": 4}"
3371,🏟️,"{""grandstand"": 2, ""sport"": 3, ""stadium"": 2}"
3372,🏟,"{""grandstand"": 2, ""sport"": 3, ""stadium"": 2}"
3373,🏛️,"{""building"": 8, ""classical"": 2}"
3374,🏛,"{""building"": 8, ""classical"": 2}"
3375,🏗️,"{""building"": 8, ""crane"": 2, ""construction"": 33}"
3376,🏗,"{""building"": 8, ""crane"": 2, ""construction"": 33}"
3377,🧱,"{""brick"": 1}"
3378,🪨,"{""rock"": 9}"
3379,🪵,"{""wood"": 1}"
3380,🛖,"{""hut"": 1}"
3381,🏘️,"{""houses"": 2}"
3382,🏘,"{""houses"": 2}"
3383,🏚️,"{""haunted"": 2, ""abandoned"": 2, ""old"": 16, ""derelict"": 2, ""house"": 4}"
3384,🏚,"{""haunted"": 2, ""abandoned"": 2, ""old"": 16, ""derelict"": 2, ""house"": 4}"
3385,🏠,"{""home"": 2, ""house"": 4}"
3386,🏡,"{""garden"": 2, ""house"": 4, ""tree"": 6}"
3387,🏢,"{""office"": 21, ""building"": 8, ""city"": 6, ""high-rise"": 1}"
3388,🏣,"{""postal"": 2, ""japan"": 3, ""office"": 21, ""japanese"": 28, ""post"": 3, ""mark"": 22}"
3389,🏤,"{""post"": 3, ""office"": 21}"
3390,🏥,"{""emergency"": 3, ""room"": 33, ""hospital"": 2, ""medical"": 4, ""cross"": 12, ""red"": 49}"
3391,🏦,"{""bank"": 1, ""branch"": 1, ""bk"": 1, ""bakkureru"": 1}"
3392,🏨,"{""building"": 8, ""hotel"": 2, ""accommodation"": 1, ""h"": 1}"
3393,🏩,"{""love"": 6, ""hotel"": 2, ""hospital"": 2, ""heart"": 234}"
3394,🏪,"{""convenience"": 1, ""kwik-e-mart"": 1, ""store"": 2, ""shop"": 2, ""corner"": 1, ""7-eleven®"": 1, ""24-hour"": 1}"
3395,🏫,"{""high"": 6, ""elementary"": 1, ""middle"": 8, ""tower"": 2, ""clock"": 18, ""school"": 4}"
3396,🏬,"{""shopping"": 4, ""shops"": 1, ""center"": 1, ""department"": 2, ""store"": 2}"
3397,🏭,"{""pollution"": 1, ""industrial"": 1, ""smog"": 1, ""factory"": 19, ""industry"": 1}"
3398,🏯,"{""fortress"": 1, ""castle"": 2, ""japanese"": 28}"
3399,🏰,"{""castle"": 2, ""turrets"": 1}"
3400,💒,"{""church"": 2, ""wedding"": 2, ""marriage"": 1, ""heart"": 234}"
3401,🗼,"{""tokyo"": 1, ""tower"": 2, ""red"": 49, ""eiffel"": 1}"
3402,🗽,"{""york"": 2, ""liberty"": 2, ""new"": 11, ""statue"": 2}"
3403,⛪,"{""building"": 8, ""church"": 2, ""cross"": 12}"
3404,🕌,"{""roof"": 1, ""mosque"": 1, ""domed"": 1, ""minaret"": 1}"
3405,🛕,"{""temple"": 2, ""hindu"": 1}"
3406,🕍,"{""temple"": 2, ""synagogue"": 1, ""synagog"": 1, ""jewish"": 1}"
3407,⛩️,"{""shinto"": 2, ""shrine"": 2, ""kami-no-michi"": 2}"
3408,⛩,"{""shinto"": 2, ""shrine"": 2, ""kami-no-michi"": 2}"
3409,🕋,"{""kaaba"": 1, ""mecca"": 1}"
3410,⛲,"{""feature"": 1, ""fountain"": 6, ""water"": 39, ""park"": 4}"
3411,⛺,"{""camping"": 3, ""tent"": 2}"
3412,🌁,"{""fog"": 5, ""foggy"": 1, ""city"": 6, ""bridge"": 2}"
3413,🌃,"{""starry"": 2, ""night"": 3, ""city"": 6, ""stars"": 3}"
3414,🏙️,"{""cityscape"": 3}"
3415,🏙,"{""cityscape"": 3}"
3416,🌄,"{""morning"": 1, ""sunrise"": 2, ""mountains"": 1}"
3417,🌅,"{""sunrise"": 2, ""sunset"": 2}"
3418,🌆,"{""sky"": 2, ""city"": 6, ""dusk"": 1, ""orange"": 11, ""cityscape"": 3}"
3419,🌇,"{""sunset"": 2, ""city"": 6}"
3420,🌉,"{""night"": 3, ""bridge"": 2, ""gate"": 1, ""golden"": 2}"
3421,♨️,"{""springs"": 2, ""steam"": 5, ""hot"": 11, ""onsen"": 2}"
3422,♨,"{""springs"": 2, ""steam"": 5, ""hot"": 11, ""onsen"": 2}"
3423,🎠,"{""fairground"": 2, ""horse"": 9, ""carnival"": 1, ""merry"": 1, ""round"": 3, ""go"": 1, ""carousel"": 1}"
3424,🎡,"{""fairground"": 2, ""observation"": 1, ""big"": 4, ""ferris"": 1, ""wheel"": 3}"
3425,🎢,"{""park"": 4, ""theme"": 1, ""coaster"": 1, ""rollercoaster"": 1, ""roller"": 2}"
3426,💈,"{""stripes"": 1, ""hairdresser"": 2, ""barber"": 1, ""pole"": 3, ""shop"": 2}"
3427,🎪,"{""circus"": 1, ""top"": 3, ""tent"": 2, ""big"": 4}"
3428,🚂,"{""steam"": 5, ""railway"": 6, ""locomotive"": 1, ""train"": 7}"
3429,🚃,"{""railroad"": 1, ""railcar"": 1, ""railway"": 6, ""wagon"": 1, ""car"": 10, ""carriage"": 1}"
3430,🚄,"{""high-speed"": 1, ""train"": 7}"
3431,🚅,"{""shinkansen"": 1, ""bullet"": 1, ""train"": 7}"
3432,🚆,"{""train"": 7, ""regular"": 1, ""diesel"": 1, ""passenger"": 3, ""electric"": 4}"
3433,🚇,"{""subway"": 1, ""tube"": 2, ""metro"": 3}"
3434,🚈,"{""rail"": 1, ""light"": 566}"
3435,🚉,"{""station"": 2, ""platform"": 1, ""train"": 7}"
3436,🚊,"{""tram"": 2}"
3437,🚝,"{""monorail"": 1}"
3438,🚞,"{""railway"": 6, ""train"": 7, ""funicular"": 1, ""mountain"": 37}"
3439,🚋,"{""tram"": 2, ""car"": 10}"
3440,🚌,"{""school"": 4, ""bus"": 5}"
3441,🚍,"{""oncoming"": 10, ""bus"": 5, ""front"": 5}"
3442,🚎,"{""trolley"": 1, ""trolleybus"": 1, ""bus"": 5, ""electric"": 4}"
3443,🚐,"{""people-mover"": 1, ""minibus"": 1, ""minivan"": 1}"
3444,🚑,"{""ambulance"": 1}"
3445,🚒,"{""fire"": 6, ""engine"": 1, ""truck"": 4, ""department"": 2}"
3446,🚓,"{""police"": 33, ""cop"": 3, ""car"": 10, ""side"": 3}"
3447,🚔,"{""police"": 33, ""oncoming"": 10, ""front"": 5, ""cop"": 3, ""🚓"": 1, ""car"": 10}"
3448,🚕,"{""taxi"": 2, ""york"": 2, ""new"": 11, ""taxicab"": 2, ""side"": 3}"
3449,🚖,"{""taxi"": 2, ""oncoming"": 10, ""front"": 5, ""taxicab"": 2}"
3450,🚗,"{""automobile"": 2, ""car"": 10, ""side"": 3, ""red"": 49}"
3451,🚘,"{""oncoming"": 10, ""front"": 5, ""automobile"": 2, ""car"": 10}"
3452,🚙,"{""vehicle"": 1, ""utility"": 1, ""rv"": 1, ""sport"": 3, ""campervan"": 1, ""motorhome"": 1}"
3453,🛻,"{""pickup"": 1, ""truck"": 4}"
3454,🚚,"{""truck"": 4, ""delivery"": 3}"
3455,🚛,"{""lorry"": 1, ""articulated"": 1, ""truck"": 4, ""green"": 14}"
3456,🚜,"{""tractor"": 1, ""farm"": 1, ""farming"": 2}"
3457,🏎️,"{""formula"": 2, ""racing"": 9, ""f1"": 2, ""car"": 10, ""one"": 6}"
3458,🏎,"{""formula"": 2, ""racing"": 9, ""f1"": 2, ""car"": 10, ""one"": 6}"
3459,🏍️,"{""motorbike"": 2, ""motorcycle"": 2}"
3460,🏍,"{""motorbike"": 2, ""motorcycle"": 2}"
3461,🛵,"{""vespa"": 1, ""bike"": 4, ""cycle"": 1, ""scooter"": 2, ""motor"": 3}"
3462,🦽,"{""wheelchair"": 39, ""manual"": 19}"
3463,🦼,"{""wheelchair"": 39, ""motorized"": 19}"
3464,🛺,"{""tuk"": 1, ""auto"": 1, ""rickshaw"": 1}"
3465,🚲,"{""bike"": 4, ""push"": 1, ""bicycle"": 2}"
3466,🛴,"{""scooter"": 2, ""kick"": 1}"
3467,🛹,"{""skateboard"": 1}"
3468,🛼,"{""inline"": 1, ""derby"": 1, ""skate"": 3, ""roller"": 2}"
3469,🚏,"{""bus"": 5, ""stop"": 5}"
3470,🛣️,"{""interstate"": 2, ""motorway"": 2, ""highway"": 2, ""road"": 2}"
3471,🛣,"{""interstate"": 2, ""motorway"": 2, ""highway"": 2, ""road"": 2}"
3472,🛤️,"{""railway"": 6, ""track"": 6}"
3473,🛤,"{""railway"": 6, ""track"": 6}"
3474,🛢️,"{""drum"": 4, ""oil"": 3}"
3475,🛢,"{""drum"": 4, ""oil"": 3}"
3476,⛽,"{""petrol"": 1, ""gas"": 1, ""fuel"": 1, ""pump"": 2}"
3477,🚨,"{""police"": 33, ""emergency"": 3, ""light"": 566, ""siren"": 1, ""car"": 10, ""flashing"": 1}"
3478,🚥,"{""traffic"": 2, ""horizontal"": 3, ""light"": 566}"
3479,🚦,"{""vertical"": 4, ""traffic"": 2, ""light"": 566}"
3480,🛑,"{""sign"": 26, ""stop"": 5}"
3481,🚧,"{""roadwork"": 1, ""sign"": 26, ""black"": 15, ""construction"": 33, ""yellow"": 10, ""striped"": 1}"
3482,⚓,"{""pattern"": 1, ""admiralty"": 1, ""anchor"": 1, ""fisherman"": 1}"
3483,⛵,"{""dinghy"": 1, ""sailboat"": 1, ""yacht"": 1}"
3484,🛶,"{""canoe"": 1}"
3485,🚤,"{""speedboat"": 1, ""powerboat"": 1, ""motorboat"": 1}"
3486,🛳️,"{""passenger"": 3, ""ship"": 4}"
3487,🛳,"{""passenger"": 3, ""ship"": 4}"
3488,⛴️,"{""ferry"": 2}"
3489,⛴,"{""ferry"": 2}"
3490,🛥️,"{""motor"": 3, ""boat"": 32}"
3491,🛥,"{""motor"": 3, ""boat"": 32}"
3492,🚢,"{""cruise"": 1, ""ship"": 4}"
3493,✈️,"{""airplane"": 7, ""plane"": 6, ""aeroplane"": 7}"
3494,✈,"{""airplane"": 7, ""plane"": 6, ""aeroplane"": 7}"
3495,🛩️,"{""plane"": 6, ""airplane"": 7, ""small"": 12, ""aeroplane"": 7}"
3496,🛩,"{""plane"": 6, ""airplane"": 7, ""small"": 12, ""aeroplane"": 7}"
3497,🛫,"{""plane"": 6, ""taking"": 7, ""airplane"": 7, ""off"": 2, ""aeroplane"": 7, ""departure"": 1}"
3498,🛬,"{""plane"": 6, ""airplane"": 7, ""aeroplane"": 7, ""landing"": 1, ""arrival"": 1}"
3499,🪂,"{""parachute"": 1}"
3500,💺,"{""bus"": 5, ""train"": 7, ""airplane"": 7, ""aeroplane"": 7, ""seat"": 1}"
3501,🚁,"{""helicopter"": 1}"
3502,🚟,"{""suspension"": 1, ""railway"": 6}"
3503,🚠,"{""cableway"": 1, ""mountain"": 37}"
3504,🚡,"{""gondola"": 1, ""ropeway"": 1, ""car"": 10, ""aerial"": 1, ""tramway"": 1, ""cable"": 2}"
3505,🛰️,"{""satellite"": 3}"
3506,🛰,"{""satellite"": 3}"
3507,🚀,"{""ship"": 4, ""shuttle"": 1, ""space"": 3, ""rocket"": 1}"
3508,🛸,"{""flying"": 3, ""ufo"": 1, ""saucer"": 1}"
3509,🛎️,"{""bell"": 6, ""bellhop"": 3}"
3510,🛎,"{""bell"": 6, ""bellhop"": 3}"
3511,🧳,"{""suitcase"": 3, ""luggage"": 2}"
3512,⌛,"{""done"": 3, ""hourglass"": 2}"
3513,⏳,"{""not"": 2, ""done"": 3, ""hourglass"": 2}"
3514,⌚,"{""timepiece"": 1, ""wrist"": 1, ""watch"": 1, ""apple"": 3}"
3515,⏰,"{""alarm"": 2, ""clock"": 18}"
3516,⏱️,"{""stopwatch"": 2}"
3517,⏱,"{""stopwatch"": 2}"
3518,⏲️,"{""clock"": 18, ""timer"": 2}"
3519,⏲,"{""clock"": 18, ""timer"": 2}"
3520,🕰️,"{""mantelpiece"": 2, ""clock"": 18}"
3521,🕰,"{""mantelpiece"": 2, ""clock"": 18}"
3522,🕛,"{""’"": 25, ""clock"": 18, ""o"": 14, ""twelve"": 1}"
3523,🕧,"{""twelve-thirty"": 1}"
3524,🕐,"{""’"": 25, ""one"": 6, ""clock"": 18, ""o"": 14}"
3525,🕜,"{""one-thirty"": 1}"
3526,🕑,"{""’"": 25, ""clock"": 18, ""two"": 7, ""o"": 14}"
3527,🕝,"{""two-thirty"": 1}"
3528,🕒,"{""’"": 25, ""clock"": 18, ""o"": 14, ""three"": 3}"
3529,🕞,"{""three-thirty"": 1}"
3530,🕓,"{""four"": 4, ""’"": 25, ""clock"": 18, ""o"": 14}"
3531,🕟,"{""four-thirty"": 1}"
3532,🕔,"{""’"": 25, ""clock"": 18, ""o"": 14, ""five"": 6}"
3533,🕠,"{""five-thirty"": 1}"
3534,🕕,"{""’"": 25, ""clock"": 18, ""o"": 14, ""six"": 3}"
3535,🕡,"{""six-thirty"": 1}"
3536,🕖,"{""’"": 25, ""clock"": 18, ""o"": 14, ""seven"": 3}"
3537,🕢,"{""seven-thirty"": 1}"
3538,🕗,"{""’"": 25, ""clock"": 18, ""eight"": 3, ""o"": 14}"
3539,🕣,"{""eight-thirty"": 1}"
3540,🕘,"{""nine"": 3, ""’"": 25, ""clock"": 18, ""o"": 14}"
3541,🕤,"{""nine-thirty"": 1}"
3542,🕙,"{""’"": 25, ""ten"": 2, ""clock"": 18, ""o"": 14}"
3543,🕥,"{""ten-thirty"": 1}"
3544,🕚,"{""’"": 25, ""clock"": 18, ""eleven"": 1, ""o"": 14}"
3545,🕦,"{""eleven-thirty"": 1}"
3546,🌑,"{""eclipse"": 1, ""new"": 11, ""moon"": 15, ""shadow"": 2, ""dark"": 564, ""solar"": 1}"
3547,🌒,"{""moon"": 15, ""waxing"": 2, ""crescent"": 5}"
3548,🌓,"{""quarter"": 4, ""first"": 2, ""moon"": 15}"
3549,🌔,"{""moon"": 15, ""gibbous"": 2, ""waxing"": 2}"
3550,🌕,"{""full"": 3, ""moon"": 15}"
3551,🌖,"{""moon"": 15, ""gibbous"": 2, ""waning"": 2}"
3552,🌗,"{""quarter"": 4, ""last"": 4, ""moon"": 15}"
3553,🌘,"{""moon"": 15, ""waning"": 2, ""crescent"": 5}"
3554,🌙,"{""moon"": 15, ""crescent"": 5}"
3555,🌚,"{""new"": 11, ""face"": 119, ""moon"": 15, ""molester"": 1, ""dark"": 564, ""creepy"": 1}"
3556,🌛,"{""quarter"": 4, ""first"": 2, ""face"": 119, ""moon"": 15}"
3557,🌜,"{""quarter"": 4, ""face"": 119, ""last"": 4, ""moon"": 15}"
3558,🌡️,"{""thermometer"": 3, ""weather"": 2, ""temperature"": 2, ""hot"": 11}"
3559,🌡,"{""thermometer"": 3, ""weather"": 2, ""temperature"": 2, ""hot"": 11}"
3560,☀️,"{""sunshine"": 2, ""sun"": 10}"
3561,☀,"{""sunshine"": 2, ""sun"": 10}"
3562,🌝,"{""moonface"": 1, ""smiley"": 8, ""face"": 119, ""moon"": 15, ""full"": 3, ""smiling"": 20}"
3563,🌞,"{""smiley"": 8, ""sun"": 10, ""face"": 119, ""sunface"": 1, ""smiling"": 20}"
3564,🪐,"{""planet"": 4, ""saturn"": 1, ""ringed"": 1}"
3565,⭐,"{""gold"": 4, ""star"": 15}"
3566,🌟,"{""star"": 15, ""shining"": 1, ""glowing"": 1}"
3567,🌠,"{""star"": 15, ""you"": 2, ""wish"": 2, ""when"": 1, ""meteoroid"": 1, ""shooting"": 1}"
3568,🌌,"{""milky"": 1, ""night"": 3, ""sky"": 2, ""space"": 3, ""galaxy"": 1, ""stars"": 3, ""universe"": 1, ""way"": 1}"
3569,☁️,"{""cloud"": 17, ""cloudy"": 2, ""overcast"": 2}"
3570,☁,"{""cloud"": 17, ""cloudy"": 2, ""overcast"": 2}"
3571,⛅,"{""cloud"": 17, ""sun"": 10, ""behind"": 7}"
3572,⛈️,"{""lightning"": 5, ""rain"": 7, ""cloud"": 17}"
3573,⛈,"{""lightning"": 5, ""rain"": 7, ""cloud"": 17}"
3574,🌤️,"{""cloud"": 17, ""small"": 12, ""sun"": 10, ""behind"": 7}"
3575,🌤,"{""cloud"": 17, ""small"": 12, ""sun"": 10, ""behind"": 7}"
3576,🌥️,"{""large"": 6, ""cloud"": 17, ""sun"": 10, ""behind"": 7}"
3577,🌥,"{""large"": 6, ""cloud"": 17, ""sun"": 10, ""behind"": 7}"
3578,🌦️,"{""behind"": 7, ""cloud"": 17, ""rain"": 7, ""sun"": 10}"
3579,🌦,"{""behind"": 7, ""cloud"": 17, ""rain"": 7, ""sun"": 10}"
3580,🌧️,"{""cloud"": 17, ""rain"": 7}"
3581,🌧,"{""cloud"": 17, ""rain"": 7}"
3582,🌨️,"{""cloud"": 17, ""snow"": 6}"
3583,🌨,"{""cloud"": 17, ""snow"": 6}"
3584,🌩️,"{""lightning"": 5, ""cloud"": 17}"
3585,🌩,"{""lightning"": 5, ""cloud"": 17}"
3586,🌪️,"{""tornado"": 3}"
3587,🌪,"{""tornado"": 3}"
3588,🌫️,"{""fog"": 5}"
3589,🌫,"{""fog"": 5}"
3590,🌬️,"{""face"": 119, ""mother"": 2, ""nature"": 2, ""wind"": 4, ""blowing"": 3}"
3591,🌬,"{""face"": 119, ""mother"": 2, ""nature"": 2, ""wind"": 4, ""blowing"": 3}"
3592,🌀,"{""spiral"": 9, ""cyclone"": 1, ""swirl"": 2, ""hurricane"": 1, ""tornado"": 3}"
3593,🌈,"{""gay"": 2, ""rainbow"": 3, ""pride"": 3, ""primary"": 1}"
3594,🌂,"{""collapsed"": 1, ""umbrella"": 8, ""pink"": 11, ""closed"": 6}"
3595,☂️,"{""umbrella"": 8}"
3596,☂,"{""umbrella"": 8}"
3597,☔,"{""drops"": 2, ""rain"": 7, ""rainy"": 1, ""raining"": 1, ""umbrella"": 8}"
3598,⛱️,"{""umbrella"": 8, ""ground"": 2}"
3599,⛱,"{""umbrella"": 8, ""ground"": 2}"
3600,⚡,"{""lightning"": 5, ""high"": 6, ""voltage"": 1, ""bolt"": 2, ""thunderbolt"": 1}"
3601,❄️,"{""snowing"": 4, ""snow"": 6, ""snowflake"": 2}"
3602,❄,"{""snowing"": 4, ""snow"": 6, ""snowflake"": 2}"
3603,☃️,"{""snowman"": 3, ""snowing"": 4}"
3604,☃,"{""snowman"": 3, ""snowing"": 4}"
3605,⛄,"{""olaf"": 1, ""without"": 1, ""snow"": 6, ""the"": 12, ""snowman"": 3}"
3606,☄️,"{""comet"": 2}"
3607,☄,"{""comet"": 2}"
3608,🔥,"{""snapstreak"": 1, ""hot"": 11, ""lit"": 1, ""fire"": 6, ""flame"": 1}"
3609,💧,"{""drop"": 2, ""droplet"": 1, ""water"": 39}"
3610,🌊,"{""sea"": 1, ""water"": 39, ""ocean"": 2, ""wave"": 4, ""beach"": 4, ""waves"": 1}"
3611,🎃,"{""jack-o-lantern"": 1, ""pumpkin"": 1, ""halloween"": 2, ""gourd"": 1}"
3612,🎄,"{""xmas"": 1, ""christmas"": 3, ""tree"": 6}"
3613,🎆,"{""explosion"": 1, ""fireworks"": 1}"
3614,🎇,"{""hanabi"": 1, ""senko"": 1, ""sparkler"": 1}"
3615,🧨,"{""dynamite"": 1, ""firecracker"": 1}"
3616,✨,"{""shiny"": 1, ""sparkles"": 1, ""glitter"": 1}"
3617,🎈,"{""balloon"": 3, ""party"": 3, ""red"": 49}"
3618,🎉,"{""popper"": 1, ""hat"": 5, ""party"": 3, ""celebration"": 3}"
3619,🎊,"{""confetti"": 1, ""ball"": 43}"
3620,🎋,"{""tree"": 6, ""wish"": 2, ""tanabata"": 1}"
3621,🎍,"{""kadomatsu"": 1, ""new"": 11, ""bamboo"": 1, ""year"": 1, ""pine"": 2, ""decoration"": 4}"
3622,🎎,"{""dolls"": 2, ""hinamatsuri"": 1, ""japanese"": 28, ""imperial"": 1}"
3623,🎏,"{""socks"": 2, ""carp"": 1, ""koinobori"": 1, ""flag"": 280, ""streamer"": 1, ""fish"": 4}"
3624,🎐,"{""bell"": 6, ""chime"": 1, ""wind"": 4, ""furin"": 1, ""jellyfish"": 1}"
3625,🎑,"{""viewing"": 1, ""harvest"": 1, ""ceremony"": 1, ""moon"": 15, ""festival"": 1, ""grass"": 1, ""tsukimi"": 1, ""mid-autumn"": 1, ""dumplings"": 1}"
3626,🧧,"{""envelope"": 6, ""see"": 1, ""hóngbāo"": 1, ""ang"": 1, ""lai"": 1, ""packet"": 1, ""pao"": 1, ""red"": 49}"
3627,🎀,"{""bow"": 2, ""ribbon"": 4, ""pink"": 11}"
3628,🎁,"{""christmas"": 3, ""wrapped"": 1, ""present"": 1, ""gift"": 2, ""box"": 12, ""birthday"": 2}"
3629,🎗️,"{""ribbon"": 4, ""reminder"": 2}"
3630,🎗,"{""ribbon"": 4, ""reminder"": 2}"
3631,🎟️,"{""tickets"": 2, ""admission"": 2}"
3632,🎟,"{""tickets"": 2, ""admission"": 2}"
3633,🎫,"{""stub"": 1, ""tour"": 1, ""ticket"": 1, ""world"": 9}"
3634,🎖️,"{""medallion"": 2, ""decoration"": 4, ""medal"": 6, ""military"": 3}"
3635,🎖,"{""medallion"": 2, ""decoration"": 4, ""medal"": 6, ""military"": 3}"
3636,🏆,"{""trophy"": 1, ""winners"": 1, ""championship"": 1}"
3637,🏅,"{""sports"": 1, ""medal"": 6}"
3638,🥇,"{""gold"": 4, ""place"": 4, ""medal"": 6, ""1st"": 1}"
3639,🥈,"{""2nd"": 1, ""place"": 4, ""silver"": 1, ""medal"": 6}"
3640,🥉,"{""3rd"": 1, ""bronze"": 1, ""place"": 4, ""medal"": 6}"
3641,⚽,"{""football"": 3, ""soccer"": 1, ""ball"": 43}"
3642,⚾,"{""baseball"": 2, ""softball"": 2}"
3643,🥎,"{""softball"": 2}"
3644,🏀,"{""orange"": 11, ""basketball"": 1, ""ball"": 43}"
3645,🏐,"{""volleyball"": 1}"
3646,🏈,"{""gridiron"": 1, ""american"": 4, ""superbowl"": 1, ""football"": 3}"
3647,🏉,"{""union"": 3, ""league"": 1, ""rugby"": 1, ""football"": 3}"
3648,🎾,"{""tennis"": 2, ""racquet"": 1, ""racket"": 1, ""ball"": 43}"
3649,🥏,"{""flying"": 3, ""disc"": 2}"
3650,🎳,"{""pin"": 3, ""skittles"": 1, ""ten"": 2, ""pins"": 1, ""bowling"": 1, ""ball"": 43}"
3651,🏏,"{""cricket"": 2, ""game"": 4}"
3652,🏑,"{""field"": 1, ""hockey"": 2}"
3653,🏒,"{""ice"": 7, ""hockey"": 2}"
3654,🥍,"{""lacrosse"": 1}"
