,emoji,keywords
210,🤌🏽,"{""pinched"": 6, ""fingers"": 21, ""medium"": 566}"
211,🤌🏾,"{""pinched"": 6, ""medium-dark"": 561, ""fingers"": 21}"
212,🤌🏿,"{""pinched"": 6, ""fingers"": 21, ""dark"": 564}"
213,🤏,"{""pinching"": 6, ""hand"": 119}"
214,🤏🏻,"{""pinching"": 6, ""light"": 566, ""hand"": 119}"
215,🤏🏼,"{""pinching"": 6, ""medium-light"": 561, ""hand"": 119}"
216,🤏🏽,"{""pinching"": 6, ""medium"": 566, ""hand"": 119}"
217,🤏🏾,"{""pinching"": 6, ""medium-dark"": 561, ""hand"": 119}"
218,🤏🏿,"{""pinching"": 6, ""hand"": 119, ""dark"": 564}"
219,✌️,"{""quotes"": 2, ""air"": 3, ""victory"": 7, ""peace"": 4, ""sign"": 26, ""hand"": 119, ""v"": 2}"
220,✌,"{""quotes"": 2, ""air"": 3, ""victory"": 7, ""peace"": 4, ""sign"": 26, ""hand"": 119, ""v"": 2}"
221,✌🏻,"{""victory"": 7, ""light"": 566, ""hand"": 119}"
222,✌🏼,"{""victory"": 7, ""medium-light"": 561, ""hand"": 119}"
223,✌🏽,"{""victory"": 7, ""medium"": 566, ""hand"": 119}"
224,✌🏾,"{""victory"": 7, ""medium-dark"": 561, ""hand"": 119}"
225,✌🏿,"{""victory"": 7, ""hand"": 119, ""dark"": 564}"
226,🤞,"{""good"": 2, ""luck"": 1, ""fingers"": 21, ""crossed"": 10}"
227,🤞🏻,"{""crossed"": 10, ""light"": 566, ""fingers"": 21}"
228,🤞🏼,"{""crossed"": 10, ""medium-light"": 561, ""fingers"": 21}"
229,🤞🏽,"{""crossed"": 10, ""fingers"": 21, ""medium"": 566}"
230,🤞🏾,"{""crossed"": 10, ""medium-dark"": 561, ""fingers"": 21}"
231,🤞🏿,"{""crossed"": 10, ""fingers"": 21, ""dark"": 564}"
232,🤟,"{""love-you"": 6, ""gesture"": 6}"
233,🤟🏻,"{""love-you"": 6, ""light"": 566, ""gesture"": 6}"
234,🤟🏼,"{""love-you"": 6, ""medium-light"": 561, ""gesture"": 6}"
235,🤟🏽,"{""love-you"": 6, ""gesture"": 6, ""medium"": 566}"
236,🤟🏾,"{""love-you"": 6, ""gesture"": 6, ""medium-dark"": 561}"
237,🤟🏿,"{""love-you"": 6, ""gesture"": 6, ""dark"": 564}"
238,🤘,"{""devil"": 3, ""metal"": 1, ""horns"": 8, ""rock"": 9, ""heavy"": 2, ""fingers"": 21, ""the"": 12, ""sign"": 26}"
239,🤘🏻,"{""light"": 566, ""horns"": 8, ""the"": 12, ""sign"": 26}"
240,🤘🏼,"{""medium-light"": 561, ""horns"": 8, ""the"": 12, ""sign"": 26}"
241,🤘🏽,"{""horns"": 8, ""medium"": 566, ""the"": 12, ""sign"": 26}"
242,🤘🏾,"{""horns"": 8, ""medium-dark"": 561, ""the"": 12, ""sign"": 26}"
243,🤘🏿,"{""horns"": 8, ""the"": 12, ""sign"": 26, ""dark"": 564}"
244,🤙,"{""shaka"": 1, ""me"": 6, ""call"": 7, ""phone"": 10, ""hand"": 119}"
245,🤙🏻,"{""me"": 6, ""call"": 7, ""light"": 566, ""hand"": 119}"
246,🤙🏼,"{""me"": 6, ""call"": 7, ""medium-light"": 561, ""hand"": 119}"
247,🤙🏽,"{""me"": 6, ""call"": 7, ""medium"": 566, ""hand"": 119}"
248,🤙🏾,"{""me"": 6, ""call"": 7, ""medium-dark"": 561, ""hand"": 119}"
249,🤙🏿,"{""me"": 6, ""call"": 7, ""hand"": 119, ""dark"": 564}"
250,👈,"{""index"": 34, ""backhand"": 25, ""pointing"": 42, ""left"": 19}"
251,👈🏻,"{""index"": 34, ""backhand"": 25, ""light"": 566, ""left"": 19, ""pointing"": 42}"
252,👈🏼,"{""index"": 34, ""backhand"": 25, ""medium-light"": 561, ""left"": 19, ""pointing"": 42}"
253,👈🏽,"{""index"": 34, ""backhand"": 25, ""left"": 19, ""medium"": 566, ""pointing"": 42}"
254,👈🏾,"{""index"": 34, ""backhand"": 25, ""left"": 19, ""medium-dark"": 561, ""pointing"": 42}"
255,👈🏿,"{""index"": 34, ""backhand"": 25, ""left"": 19, ""pointing"": 42, ""dark"": 564}"
256,👉,"{""index"": 34, ""backhand"": 25, ""pointing"": 42, ""right"": 22}"
257,👉🏻,"{""right"": 22, ""index"": 34, ""backhand"": 25, ""light"": 566, ""pointing"": 42}"
258,👉🏼,"{""right"": 22, ""index"": 34, ""backhand"": 25, ""medium-light"": 561, ""pointing"": 42}"
259,👉🏽,"{""right"": 22, ""index"": 34, ""backhand"": 25, ""medium"": 566, ""pointing"": 42}"
260,👉🏾,"{""right"": 22, ""index"": 34, ""backhand"": 25, ""medium-dark"": 561, ""pointing"": 42}"
261,👉🏿,"{""right"": 22, ""index"": 34, ""backhand"": 25, ""pointing"": 42, ""dark"": 564}"
262,👆,"{""index"": 34, ""backhand"": 25, ""middle"": 8, ""finger"": 9, ""pointing"": 42}"
263,👆🏻,"{""index"": 34, ""backhand"": 25, ""light"": 566, ""pointing"": 42}"
264,👆🏼,"{""index"": 34, ""backhand"": 25, ""medium-light"": 561, ""pointing"": 42}"
265,👆🏽,"{""index"": 34, ""backhand"": 25, ""medium"": 566, ""pointing"": 42}"
266,👆🏾,"{""index"": 34, ""backhand"": 25, ""medium-dark"": 561, ""pointing"": 42}"
267,👆🏿,"{""index"": 34, ""backhand"": 25, ""pointing"": 42, ""dark"": 564}"
268,🖕,"{""medio"": 1, ""bird"": 3, ""rude"": 3, ""middle"": 8, ""finger"": 9, ""flipping"": 1, ""dito"": 1, ""the"": 12}"
269,🖕🏻,"{""light"": 566, ""middle"": 8, ""finger"": 9}"
270,🖕🏼,"{""medium-light"": 561, ""middle"": 8, ""finger"": 9}"
271,🖕🏽,"{""middle"": 8, ""finger"": 9, ""medium"": 566}"
272,🖕🏾,"{""middle"": 8, ""finger"": 9, ""medium-dark"": 561}"
273,🖕🏿,"{""middle"": 8, ""finger"": 9, ""dark"": 564}"
274,👇,"{""index"": 34, ""backhand"": 25, ""pointing"": 42}"
275,👇🏻,"{""index"": 34, ""backhand"": 25, ""light"": 566, ""pointing"": 42}"
276,👇🏼,"{""index"": 34, ""backhand"": 25, ""medium-light"": 561, ""pointing"": 42}"
277,👇🏽,"{""index"": 34, ""backhand"": 25, ""medium"": 566, ""pointing"": 42}"
278,👇🏾,"{""index"": 34, ""backhand"": 25, ""medium-dark"": 561, ""pointing"": 42}"
279,👇🏿,"{""index"": 34, ""backhand"": 25, ""pointing"": 42, ""dark"": 564}"
280,☝️,"{""secret"": 4, ""pointing"": 42, ""index"": 34}"
281,☝,"{""secret"": 4, ""pointing"": 42, ""index"": 34}"
